,station_id,road_id,km,name,longitude,latitude,altitude,timezone
48,151,197,171,"км 171+710 а/д Р-254 (М-51, М-53, М-55) ""Иртыш""",55.362,63.915,163,3
49,152,197,221,"км 221+640 а/д Р-254 (М-51, М-53, М-55) ""Иртыш""",55.406,64.692,154,4
50,153,197,258,"км 258+950 а/д Р-254 (М-51, М-53, М-55) ""Иртыш""",55.501,65.247,80,3
51,154,197,300,"км 300+620 а/д Р-254 (М-51, М-53, М-55) ""Иртыш""",55.388,65.828,138,3
52,155,73,38,"км 38+200 а/д Р-254 (М-51, М-53, М-55) ""Иртыш"", подъезд к г. Тюмень",55.825,65.56,45,3
53,156,70,18,км 18+900 а/д А-310 (М-36) Челябинск-Троицк,55.014,61.451,228,3
54,157,70,44,км 44+850 а/д А-310 (М-36) Челябинск-Троицк,54.809,61.308,239,4
55,158,70,81,км 81+350 а/д А-310 (М-36) Челябинск-Троицк,54.504,61.276,236,3
56,159,70,101,км 101+100 а/д А-310 (М-36) Челябинск-Троицк,54.336,61.345,243,4
57,160,70,131,км 131+230 а/д А-310 (М-36) Челябинск-Троицк,54.09,61.49,211,4
58,188,22,60,"км 60+865 а/д М-10 ""Россия""",56.1806,36.989,203,3
59,189,22,135,"км 135+137 а/д М-10 ""Россия""",56.701,36.337,121,3
60,200,22,36,"км 36+891 а/д М-10 ""Россия""",55.997491,37.249981,201,3
61,201,22,71,"км 71+063 а/д М-10 ""Россия""",56.231944444444004,36.905277777778,183,3
62,202,22,231,"км 231+800 а/д М-10 ""Россия""",57.063,35.013,194,3
63,203,22,293,"км 293+550 а/д М-10 ""Россия""",57.55492,34.5794,166,3
64,204,22,348,"км 348+540 а/д М-10 ""Россия""",57.812312,33.841249,184,3
65,205,22,387,"км 387+734 а/д М-10 ""Россия""",57.95379,33.267,214,3
66,206,22,446,"км 446+610 а/д М-10 ""Россия""",58.268225,32.495233,64,3
67,207,22,525,"км 525+000 а/д М-10 ""Россия""",58.650417,31.43643,32,3
68,208,22,590,"км 590+000 а/д М-10 ""Россия""",59.186847,31.536456,35,3
